#{"t_start": 1750757849.425905, "env_id": "None"}
r,l,t
-272.850694,50,0.071778
-96.95975,50,0.09297
-123.70606,50,0.166504
-151.952009,50,0.239102
-184.157708,50,0.316605
-197.502671,50,0.399892
-220.405556,50,0.529947
-270.370455,50,0.651759
-183.80143,50,0.793734
-289.986806,50,0.89522
-349.483816,50,1.027787
-106.929722,50,1.144888
-191.044924,50,1.446711
-140.194167,50,1.580037
-162.544167,50,1.714861
-134.137014,50,1.837476
-257.883184,50,1.966944
-163.514444,50,2.115604
-204.098294,50,2.244172
-280.344795,50,2.359699
-152.025833,50,2.522577
-158.728056,50,2.647747
-158.564933,50,2.783591
-337.862302,50,3.014964
-285.243984,50,3.182642
-211.98272,50,3.31235
-211.389266,50,3.445917
-133.384788,50,3.566167
-254.827088,50,3.698888
-191.506028,50,3.808749
-184.711991,50,3.947608
-104.756954,50,4.070744
-118.252913,50,4.18342
-129.258125,50,4.303536
-313.827778,50,4.428441
-124.769132,50,4.53199
-352.991825,50,4.699862
-206.167975,50,4.86159
-253.962708,50,4.992924
-206.351389,50,5.133552
-103.626667,50,5.423756
-221.681111,50,5.580404
-131.190325,50,5.749899
-214.679297,50,5.906049
-152.735019,50,6.074863
-191.284867,50,6.209812
-91.303648,50,6.362349
-104.90056,50,6.487617
-188.82056,50,6.621476
-89.469514,50,6.741622
-300.635735,50,6.859125
-316.09688,50,6.981524
-216.403384,50,7.127684
-110.263194,50,7.2879
-213.616138,50,7.434975
-111.708125,50,7.577441
-215.870508,50,7.79134
-175.970042,50,7.933343
-210.137197,50,8.120026
-264.709611,50,8.312989
-175.561185,50,8.546821
-252.903408,50,8.705349
-876.569052,50,8.906729
-350.274616,50,9.194744
-331.603526,50,9.424812
-291.485392,50,9.732975
-740.693355,50,9.93021
-224.972846,50,10.181524
-146.537361,50,10.718536
-89.455248,50,11.569983
-108.922222,50,11.950614
-89.756181,50,12.400617
-250.909215,50,13.020882
-269.140679,50,13.496567
-268.787216,50,14.487774
-338.665833,50,15.525852
-104.719801,50,16.171191
-243.103173,50,16.70136
-316.986348,50,18.456726
-108.149583,50,19.179497
-191.456667,50,20.717333
-95.653092,50,22.313777
-132.057806,50,23.231802
-278.714167,50,23.99562
-150.553147,50,24.548777
-233.120345,50,25.91754
-131.28079,50,28.17153
-104.047431,50,30.295401
-104.553565,50,31.347107
-142.901563,50,31.753418
-156.449252,50,32.249374
-103.530306,50,33.211988
-359.570862,50,35.127872
-208.613403,50,38.757166
-269.962154,50,40.466366
-171.393002,50,41.778081
-181.024983,50,44.365887
-289.01178,50,47.595872
-169.415925,50,49.439925
-217.241089,50,50.038906
-305.871866,50,51.478579
-95.237292,50,52.09819
-126.189028,50,54.000294
-112.849365,50,55.200946
-167.495372,50,55.964435
-128.009048,50,56.314783
-146.136122,50,56.733434
-104.584667,50,57.273368
-413.491379,50,58.050829
-111.245522,50,58.621607
-213.403611,50,59.511037
-260.38861,50,60.615992
-195.784425,50,61.686841
-85.404265,50,62.206512
-219.452304,50,62.753024
-201.656565,50,63.173887
-93.637833,50,63.609729
-123.382796,50,64.199759
-83.284869,50,64.609603
-256.461389,50,65.074819
-118.364694,50,66.687536
-92.223097,50,67.572801
-187.386806,50,68.084389
-187.964509,50,68.80774
-327.642425,50,69.050314
-216.554617,50,69.381176
-696.773241,50,70.232354
-172.849569,50,70.719771
-95.554514,50,71.126485
-231.785486,50,71.529763
-235.335858,50,71.818472
-180.452024,50,72.161089
-153.985,50,73.311388
-350.723241,50,73.877675
-241.406116,50,74.237189
-115.596885,50,74.583531
-114.946597,50,74.931885
-272.081393,50,75.174213
-223.055833,50,75.543469
-101.112639,50,76.297391
-332.823333,50,76.721172
-152.633333,50,77.047266
-168.580432,50,77.362415
-116.493392,50,77.730515
-194.789264,50,78.171788
-129.157778,50,79.040226
-148.293056,50,80.31988
-158.139181,50,80.713792
-105.293931,50,81.175352
-90.651333,50,81.520518
-282.309209,50,82.438413
-228.488413,50,82.925596
-242.9345,50,83.408408
-118.667708,50,83.692004
-108.004167,50,84.142769
-231.907222,50,84.440075
-330.191777,50,85.190502
-251.015238,50,86.643073
-119.840633,50,87.107712
-106.511833,50,87.433597
-260.433646,50,88.119909
-118.106266,50,88.574781
-192.6995,50,89.029047
-206.656907,50,89.433609
-395.219698,50,90.019966
-157.579103,50,92.330395
-295.340544,50,92.921619
-179.296958,50,93.390932
-283.522288,50,94.797563
-224.072222,50,95.667819
-102.791111,50,96.312178
-404.224345,50,97.030579
-217.185556,50,98.024838
-262.869916,50,98.817001
-168.846786,50,99.245956
-206.529375,50,99.760016
-185.310789,50,100.236951
-104.587347,50,101.434395
-118.674833,50,102.782479
-230.394106,50,103.439296
-116.795952,50,104.703876
-170.00138,50,105.773884
-119.495568,50,106.683034
-190.885972,50,107.198043
-224.356782,50,107.894717
-133.364947,50,108.204727
-104.562979,50,108.683039
-379.372986,50,109.110147
-221.433028,50,109.926456
-267.166731,50,110.572089
-192.500347,50,110.956915
-175.185259,50,111.31775
-179.101632,50,111.865664
-139.426806,50,112.173764
-269.702332,50,112.570876
-228.966273,50,113.139009
-100.523716,50,113.71727
-260.965199,50,114.267771
-112.2731,50,115.052684
-282.620399,50,115.414935
-294.514324,50,117.058433
-191.165253,50,117.192992
-127.779063,50,117.294112
-810.68875,50,117.381572
-130.997196,50,117.453718
-150.862507,50,117.731335
-783.604293,50,118.019605
-202.277901,50,118.157711
-165.107302,50,118.249
-161.725473,50,118.329759
-210.304913,50,118.48875
